id,hip,hd,hr,gl,bf,proper,rarad,decrad,mag,ci
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,0.757423361254467,-1.1584240898836,-1.44,0.009
30365,30438,45348,2326,,Alp Car,Canopus,5.74623273508643,-0.645583874714939,-0.62,0.164
69451,69673,124897,5340,Gl 541,16Alp Boo,Arcturus,0.927934676929556,-1.21683164448296,-0.05,1.239
71456,71683,128620,5459,Gl 559A,Alp1Cen,Rigil Kentaurus,0.007552068772317,-0.058604558177801,-0.01,0.71
90979,91262,172167,7001,Gl 721,3Alp Lyr,Vega,2.26057752568835,-0.735792841143624,0.03,-0.001
24549,24608,34029,1708,Gl 194A,13Alp Aur,Capella,0.040716404858491,-0.351575565389671,0.08,0.795
24378,24436,34085,1713,,19Bet Ori,Rigel,0.306847142869895,1.49272824663919,0.18,-0.03
37173,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,0.334251497579153,0.615385501943537,0.4,0.432
7574,7588,10144,472,,Alp Eri,Achernar,5.17676271580859,1.21543683913294,0.45,-0.158
27919,27989,39801,2061,,58Alp Ori,Betelgeuse,1.51737389275286,0.708203107101877,0.45,1.5
68483,68702,122451,5267,,Bet Cen,Hadar,3.60845342792378,-1.07292456903418,0.61,-0.231
97338,97649,187642,7557,Gl 768,53Alp Aql,Altair,3.25090954749794,0.27756845864651,0.76,0.221
60530,60718,108248,4730,,Alp1Cru,Acrux,1.52287005502385,0.078287908476841,0.77,-0.243
21368,21421,29139,1457,Gl 171.1A,87Alp Tau,Aldebaran,2.10974545172325,-0.595927740121339,0.87,1.538
118360,,,,Gl 194B,,,1.68368462093257,0.216334315259211,0.96,0
65269,65474,116658,5056,,67Alp Vir,Spica,2.40405250341745,0.200732861370219,0.98,-0.235
80519,80763,148478,6134,,21Alp Sco,Antares,0.958356344376882,0.212456972074211,1.06,1.865
37718,37826,62509,2990,Gl 286,78Bet Gem,Pollux,4.51754053759964,0.249615694530471,1.16,0.991
113008,113368,216956,8728,Gl 881,24Alp PsA,Fomalhaut,3.7321914252984,-0.073699034459666,1.17,0.145
62239,62434,111123,4853,,Bet Cru,Becrux,4.05343001043681,-0.271493043417902,1.25,-0.238
101767,102098,197345,7924,,50Alp Cyg,Deneb,3.06702395027841,-0.944788955790134,1.25,0.092
71453,71681,128621,5460,Gl 559B,Alp2Cen,,5.01634944598456,0.794560127663695,1.35,0.9
49528,49669,87901,3982,,32Alp Leo,Regulus,2.73758342135377,-0.790282597617446,1.36,-0.087
33492,33579,52089,2618,,21Eps CMa,Adhara,0.874524352480587,-1.14424225685783,1.5,-0.211
36744,36850,60179,2891,Gl 278A,66Alp Gem,Castor,1.2870610231102,-1.29176290277305,1.58,0.034
60893,61084,108903,4763,,Gam Cru,Gacrux,1.35399782314354,-0.385556897502054,1.59,1.6
85665,85927,158926,6527,,35Lam Sco,Shaula,2.08126530732855,0.28861960222257,1.62,-0.231
25273,25336,35468,1790,,24Gam Ori,Bellatrix,4.35463013792088,0.901939037206861,1.64,-0.224
25364,25428,35497,1791,,112Bet Tau,Alnath,5.20314413240311,1.30820489632289,1.65,-0.13
45106,45238,80007,3685,,Bet Car,Miaplacidus,1.83026368501407,-0.528565453562081,1.67,0.07
26246,26311,37128,1903,,46Eps Ori,Alnilam,4.36426298480183,-0.604756006036272,1.69,-0.184
108922,109268,209952,8425,Gl 848.2,Alp Gru,Alnair,0.71644913495245,-0.600601410170397,1.73,-0.07
26662,26727,37742,1948,,50Zet Ori,Alnitak,1.18150018576155,-0.752153691563365,1.74,-0.199
39840,39953,68273,3207,,Gam2Vel,,5.29471749569932,0.10621114703691,1.75,-0.145
62757,62956,112185,4905,,77Eps UMa,Alioth,1.09749554417003,0.04933953492817,1.76,-0.022
15824,15863,20902,1017,,33Alp Per,Mirphak,2.73963876391914,0.365036099397357,1.79,0.481
89906,90185,169022,6879,,20Eps Sgr,Kaus Australis,1.40395360408954,-0.9236611784402,1.79,-0.031
53905,54061,95689,4301,,50Alp UMa,Dubhe,3.95590488944422,-0.813955843756866,1.81,1.061
34354,34444,54605,2693,,25Del CMa,Wezen,4.42454324876291,0.294063744137781,1.83,0.671
67088,67301,120315,5191,,85Eta UMa,Alkaid,0.39805133218723,-0.572128093550115,1.85,-0.099
40921,41037,71129,3307,,Eps Car,Avior,2.44664428443919,-1.39934060882211,1.86,1.196
85965,86228,159532,6553,,The Sco,Sargas,1.22253215583983,-0.140341859584839,1.86,0.406
28288,28360,40183,2088,NN 3375,34Bet Aur,Menkalinan,4.347510687892,0.502000124583186,1.9,0.077
82022,82273,150798,6217,,Alp TrA,Atria,4.34509641175313,-1.08000179239635,1.91,1.447
31601,31681,47105,2421,,24Gam Gem,Alhena,0.393142858149566,1.09573785543462,1.93,0.001
42794,42913,74956,3485,Gl 321.3A,Del Vel,,2.47447241979679,-0.494769397864869,1.93,0.043
100425,100751,193924,7790,,Alp Pav,Peacock,5.86045329355432,0.255710404385932,1.94,-0.118
11734,11767,8890,424,,1Alp UMi,Polaris,1.97923841190735,-0.031262562266329,1.97,0.636
30251,30324,44743,2294,,2Bet CMa,Mirzam,1.45693424785445,-0.952387606948014,1.98,-0.24
46259,46390,81797,3748,,30Alp Hya,Alphard,0.610447833262315,-0.285425932701229,1.99,1.44
